Name,Address,Source,XmlTag,RawName
BaseimageAlgorithmVersionAddr,0x2023006c,RegAddrGroup,Integer,BaseimageAlgorithmVersionAddr
BaseimageAngleEnd,0x20230058,RegAddrGroup,Integer,BaseimageAngleEnd_RegAddr
BaseimageAngleStart,0x20230054,RegAddrGroup,Integer,BaseimageAngleStart_RegAddr
BaseimageCentralPoint,0x20230000,RegAddrGroup,Integer,BaseimageCentralPoint_RegAddr
BaseimageDeleteAllImage,0x2023034c,RegAddrGroup,Integer,BaseimageDeleteAllImage_RegAddr
BaseimageDeleteImageName,0x2023030c,RegAddrGroup,Integer,BaseimageDeleteImageName_RegAddr
BaseimageDeleteModelName,0x20230140,RegAddrGroup,Integer,BaseimageDeleteModelName_RegAddr
BaseimageDesignateModelName,0x202302c8,RegAddrGroup,Integer,BaseimageDesignateModelName_RegAddr
BaseimageDstModelName,0x202302a8,RegAddrGroup,Integer,BaseimageDstModelName_RegAddr
BaseimageEnableMultiReferenceMode,0x20230350,RegAddrGroup,Integer,BaseimageEnableMultiReferenceMode_RegAddr
BaseimageGenerateModel,0x20230284,RegAddrGroup,Integer,BaseimageGenerateModel_RegAddr
BaseimageMatchPointX,0x202302e8,RegAddrGroup,Integer,BaseimageMatchPointX_RegAddr
BaseimageMatchPointY,0x202302ec,RegAddrGroup,Integer,BaseimageMatchPointY_RegAddr
BaseimageMaxOverlap,0x2023005c,RegAddrGroup,Integer,BaseimageMaxOverlap_RegAddr
BaseimageMinScore,0x2023004c,RegAddrGroup,Integer,BaseimageMinScore_RegAddr
BaseimageModelMangListShowEnable,0x20230280,RegAddrGroup,Integer,BaseimageModelMangListShowEnable_RegAddr
BaseimageModelMangPath,0x20230100,RegAddrGroup,Integer,BaseimageModelMangPath_RegAddr
BaseimageModelRoi,0x202300f4,RegAddrGroup,Integer,BaseimageModelRoi_RegAddr
BaseimageModelStatus,0x20230354,RegAddrGroup,Integer,BaseimageModelStatus_RegAddr
BaseimagePolarity,0x20230050,RegAddrGroup,Integer,BaseimagePolarity_RegAddr
BaseimagePyramidChainFlag,0x20230304,RegAddrGroup,Integer,BaseimagePyramidChainFlag_RegAddr
BaseimagePyramidChainLen,0x20230308,RegAddrGroup,Integer,BaseimagePyramidChainLen_RegAddr
BaseimagePyramidLevel,0x20230040,RegAddrGroup,Integer,BaseimagePyramidLevel_RegAddr
BaseimagePyramidLevelFlag,0x202302fc,RegAddrGroup,Integer,BaseimagePyramidLevelFlag_RegAddr
BaseimagePyramidRLevel,0x20230044,RegAddrGroup,Integer,BaseimagePyramidRLevel_RegAddr
BaseimageResetMatchPoint,0x202302f0,RegAddrGroup,Integer,BaseimageResetMatchPoint_RegAddr
BaseimageRoiType,0x202300ec,RegAddrGroup,Integer,BaseimageRoiType_RegAddr
BaseimageScaleEnd,0x202302f8,RegAddrGroup,Integer,BaseimageScaleEnd_RegAddr
BaseimageScaleStart,0x202302f4,RegAddrGroup,Integer,BaseimageScaleStart_RegAddr
BaseimageShieldedArea,0x202300f0,RegAddrGroup,Integer,BaseimageShieldedArea_RegAddr
BaseimageSimilarityLimitHigh,0x20230064,RegAddrGroup,Integer,BaseimageSimilarityLimitHigh_RegAddr
BaseimageSimilarityLimitLow,0x20230060,RegAddrGroup,Integer,BaseimageSimilarityLimitLow_RegAddr
BaseimageSrcModelName,0x20230288,RegAddrGroup,Integer,BaseimageSrcModelName_RegAddr
BaseimageSubFixtureEnable,0x20230068,RegAddrGroup,Integer,BaseimageSubFixtureEnable_RegAddr
BaseimageSwitchModelName,0x202301e0,RegAddrGroup,Integer,BaseimageSwitchModelName_RegAddr
BaseimageTemplateShieldedArea,0x202300f8,RegAddrGroup,Integer,BaseimageTemplateShieldedArea_RegAddr
BaseimageThreshold,0x20230048,RegAddrGroup,Integer,BaseimageThreshold_RegAddr
BaseimageThresholdFlag,0x20230300,RegAddrGroup,Integer,BaseimageThresholdFlag_RegAddr
BaseimageUploadModelName,0x20230120,RegAddrGroup,Integer,BaseimageUploadModelName_RegAddr
BinningMax,0x0001018c,RegAddrGroup,Integer,BinningMax_RegAddr
BlackLevelEn,0x00031310,RegAddrGroup,Integer,BlackLevelEn_RegAddr
BlackLevelValue,0x00031320,RegAddrGroup,Integer,BlackLevelValue_RegAddr
BoardCalibCalibBoardType,0x204a0450,RegAddrGroup,Integer,BoardCalibCalibBoardType_RegAddr
BoardCalibCircleMode,0x204a0020,RegAddrGroup,Integer,BoardCalibCircleMode_RegAddr
BoardCalibCircularity,0x204a0014,RegAddrGroup,Integer,BoardCalibCircularity_RegAddr
BoardCalibCoordinateMode,0x204a0448,RegAddrGroup,Integer,BoardCalibCoordinateMode_RegAddr
BoardCalibDistThreshold,0x204a002c,RegAddrGroup,Integer,BoardCalibDistThreshold_RegAddr
BoardCalibEdgeThreshHigh,0x204a001c,RegAddrGroup,Integer,BoardCalibEdgeThreshHigh_RegAddr
BoardCalibEdgeThreshLow,0x204a0018,RegAddrGroup,Integer,BoardCalibEdgeThreshLow_RegAddr
BoardCalibExportIcwal,0x204a0454,RegAddrGroup,Integer,BoardCalibExportIcwal_RegAddr
BoardCalibFilterStatus,0x204a0008,RegAddrGroup,Integer,BoardCalibFilterStatus_RegAddr
BoardCalibGrayContrast,0x204a0004,RegAddrGroup,Integer,BoardCalibGrayContrast_RegAddr
BoardCalibHomoFreedom,0x204a0000,RegAddrGroup,Integer,BoardCalibHomoFreedom_RegAddr
BoardCalibOriginX,0x204a043c,RegAddrGroup,Integer,BoardCalibOriginX_RegAddr
BoardCalibOriginY,0x204a0440,RegAddrGroup,Integer,BoardCalibOriginY_RegAddr
BoardCalibPhysicalSize,0x204a044c,RegAddrGroup,Integer,BoardCalibPhysicalSize_RegAddr
BoardCalibRotationAngle,0x204a0444,RegAddrGroup,Integer,BoardCalibRotationAngle_RegAddr
BoardCalibSampleRatio,0x204a0030,RegAddrGroup,Integer,BoardCalibSampleRatio_RegAddr
BoardCalibStartCalibProcess,0x204a0518,RegAddrGroup,Integer,BoardCalibStartCalibProcess_RegAddr
BoardCalibSubPixelWindowSize,0x204a0010,RegAddrGroup,Integer,BoardCalibSubPixelWindowSize_RegAddr
